Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,0.092880,0.100360,0.091009,0.093503,0.036177,15652300
1962-02-01,0.093503,0.101295,0.093191,0.093191,0.036056,15652100
1962-03-01,0.093503,0.099113,0.091321,0.093191,0.036056,7008000
1962-04-01,0.093191,0.094438,0.084776,0.085711,0.033248,9772600
1962-05-01,0.085711,0.087893,0.070750,0.079789,0.030951,20597000
1962-06-01,0.079789,0.080412,0.064829,0.066699,0.025873,14795100
1962-07-01,0.065452,0.074179,0.065452,0.068569,0.026685,10006800
1962-08-01,0.068569,0.081347,0.068257,0.077919,0.030324,11681100
1962-09-01,0.077296,0.077296,0.063894,0.063894,0.024865,5139000
1962-10-01,0.063894,0.065764,0.052362,0.059842,0.023369,12303300
1962-11-01,0.060465,0.076361,0.060465,0.071374,0.027872,15184800
1962-12-01,0.071997,0.077046,0.069192,0.072231,0.028207,10748500
1963-01-01,0.072231,0.087961,0.071268,0.080899,0.031708,18572400
1963-02-01,0.081862,0.090850,0.079615,0.086677,0.033972,16858800
1963-03-01,0.086677,0.091172,0.083467,0.086998,0.034098,7983900
1963-04-01,0.086998,0.089566,0.082825,0.086035,0.033820,10590400
1963-05-01,0.086677,0.094382,0.086677,0.089887,0.035334,15262400
1963-06-01,0.089887,0.101444,0.087961,0.096950,0.038111,22232400
1963-07-01,0.096308,0.106260,0.095024,0.101444,0.039993,26165100
1963-08-01,0.101444,0.117175,0.099197,0.114927,0.045308,51357600
1963-09-01,0.114927,0.119101,0.105939,0.107544,0.042398,25347400
1963-10-01,0.107865,0.116533,0.107865,0.110433,0.043638,32901200
1963-11-01,0.110433,0.114927,0.098555,0.109149,0.043130,22505100
1963-12-01,0.109149,0.109791,0.096629,0.101444,0.040086,15223700
1964-01-01,0.101444,0.105939,0.098555,0.100481,0.039803,15690700
1964-02-01,0.101444,0.107865,0.101444,0.103371,0.040948,13666000
1964-03-01,0.103049,0.118780,0.099518,0.112359,0.044509,30370500
1964-04-01,0.112359,0.127126,0.112359,0.114606,0.045513,50462000
1964-05-01,0.114927,0.121348,0.108186,0.108828,0.043218,20168700
1964-06-01,0.107865,0.107865,0.097592,0.100802,0.040031,35860500
1964-07-01,0.101444,0.114285,0.101444,0.105939,0.042176,17832200
1964-08-01,0.105939,0.108507,0.100481,0.107865,0.042943,11835900
1964-09-01,0.108186,0.123274,0.108186,0.119422,0.047544,38819600
1964-10-01,0.119422,0.130979,0.114927,0.123916,0.049333,26904900
1964-11-01,0.124558,0.125842,0.114927,0.115249,0.045882,8954500
1964-12-01,0.114285,0.120064,0.111396,0.116854,0.046622,12458900
1965-01-01,0.117496,0.128090,0.117496,0.124558,0.049696,13977800
1965-02-01,0.124558,0.141252,0.124558,0.141252,0.056356,35003900
1965-03-01,0.141252,0.147672,0.136115,0.138041,0.055075,28462400
1965-04-01,0.138041,0.143820,0.134831,0.141252,0.056458,13276800
1965-05-01,0.141252,0.151524,0.140610,0.145104,0.057998,14250300
1965-06-01,0.145104,0.147351,0.113001,0.122632,0.049016,19195100
1965-07-01,0.122632,0.131621,0.121348,0.131621,0.052712,13120900
1965-08-01,0.131621,0.134189,0.125842,0.125842,0.050397,18494500
1965-09-01,0.125842,0.129374,0.123274,0.128411,0.051426,17287100
1965-10-01,0.128411,0.143178,0.124558,0.135794,0.054497,32511800
1965-11-01,0.135794,0.148635,0.132263,0.132584,0.053209,34692300
1965-12-01,0.132584,0.156019,0.131300,0.152167,0.061181,44426600
1966-01-01,0.152167,0.157945,0.148314,0.154735,0.062213,32512000
1966-02-01,0.154735,0.155377,0.141252,0.141252,0.056792,24685400
1966-03-01,0.140610,0.145746,0.132263,0.136115,0.054727,37768400
1966-04-01,0.136115,0.151203,0.134831,0.146709,0.059100,33251900
1966-05-01,0.146709,0.148314,0.129053,0.131621,0.053021,21610400
1966-06-01,0.131621,0.142536,0.131621,0.136757,0.055091,13004200
1966-07-01,0.136757,0.138041,0.130979,0.134510,0.054287,9032400
1966-08-01,0.133547,0.133547,0.104655,0.111075,0.044829,15457200
1966-09-01,0.111075,0.125842,0.109149,0.115570,0.046643,9694600
1966-10-01,0.115570,0.143820,0.105297,0.138683,0.056104,21103200
1966-11-01,0.138683,0.179133,0.136115,0.166292,0.067272,86012300
1966-12-01,0.167576,0.217014,0.165650,0.203531,0.082465,146209700
1967-01-01,0.203531,0.242696,0.192616,0.226003,0.091570,81105700
1967-02-01,0.226003,0.226003,0.195184,0.213483,0.086497,56770100
1967-03-01,0.214446,0.232423,0.211877,0.226003,0.091570,34809100
1967-04-01,0.226003,0.251685,0.215730,0.251364,0.101963,51279800
1967-05-01,0.251685,0.266452,0.235633,0.241412,0.097926,43258600
