Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
134,Roosevelt Nix,PIT,FB,1,0.1,4,4.0,0.2,0,4,0,0.0,0,0,0
135,Tre Madden,SEA,FB,3,0.2,3,1.0,0.2,0,2,1,33.3,0,0,0
136,T.J. Logan,ARI,RB,2,0.2,2,1.0,0.2,0,5,0,0.0,0,0,0
137,Derrick Coleman,ARI,FB,2,0.1,3,1.5,0.2,0,2,0,0.0,0,0,0
138,Anthony Sherman,KC,RB,1,0.1,2,2.0,0.1,0,2,1,100.0,0,0,0
139,Nick Bellore,DET,FB,1,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0
139,Tommy Bohanon,JAX,FB,1,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0
139,Keith Smith,OAK,FB,1,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0
142,Charcandrick West,KC,RB,2,0.7,-1,-0.5,-0.3,0,1,1,50.0,0,0,0
143,C.J. Prosise,SEA,RB,1,0.2,-3,-3.0,-0.6,0,-3,0,0.0,0,0,0
144,D'Onta Foreman,HOU,RB,7,7.0,-1,-0.1,-1.0,0,2,0,0.0,0,0,1
